Ticker,Date/Time,O,H,L,C,VolSP,H,histVola,HV,StDev,log,sqrt(252),bigTrend,otkatPrice,hardRSI,hardOtkat,cutPrice,BuyHR,PriceTrigger,Trigger,bp,Buy,Sell,SellPrice
AAPL,2000-01-03,3.74553,4.01785,3.63169,3.99776,1.33E+12,1,1,63.00504,0.03969,0.08503,15.87451,1,0,0,0,1,0,3.37812,0,3.37812,0,0,3.74553
AAPL,2000-01-04,3.86607,3.95089,3.61384,3.66071,1.34E+12,1,1,64.74424,0.04079,-0.08808,15.87451,1,0,0,0,1,0,3.67794,1,3.67794,0,0,3.86607
AAPL,2000-01-05,3.70535,3.94866,3.67857,3.71428,1.36E+12,1,1,64.75664,0.04079,0.01453,15.87451,1,0,0,0,1,0,3.36785,0,3.36785,0,0,3.70535
AAPL,2000-01-06,3.79017,3.82142,3.39285,3.39285,1.36E+12,1,1,66.50712,0.0419,-0.09051,15.87451,1,1,0,0,1,0,3.41714,1,3.41714,0,0,3.79017
AAPL,2000-01-07,3.44642,3.60714,3.41071,3.55357,1.38E+12,1,1,66.8213,0.04209,0.04628,15.87451,1,1,0,0,1,0,3.12143,0,3.12143,0,0,3.44642
AAPL,2000-01-10,3.64285,3.65178,3.38392,3.49107,1.39E+12,1,1,66.906,0.04215,-0.01774,15.87451,1,1,0,0,1,0,3.26928,0,3.26928,0,0,3.64285
AAPL,2000-01-11,3.42634,3.5491,3.23214,3.3125,1.39E+12,1,1,67.37487,0.04244,-0.05251,15.87451,1,1,0,0,1,0,3.21178,0,3.21178,0,0,3.42634
AAPL,2000-01-12,3.39285,3.41071,3.08928,3.11384,1.41E+12,1,1,68.18437,0.04295,-0.06185,15.87451,1,1,0,1,1,0,3.0475,0,3.0475,0,0,3.39285
AAPL,2000-01-13,3.375,3.52678,3.30357,3.45535,1.42E+12,1,1,69.91541,0.04404,0.10407,15.87451,1,1,0,0,1,0,2.86473,0,2.86473,0,0,3.375
AAPL,2000-01-14,3.57142,3.65178,3.5491,3.58705,1.43E+12,1,1,70.08388,0.04415,0.03741,15.87451,1,0,0,0,1,0,3.17893,0,3.17893,0,0,3.57142
AAPL,2000-01-18,3.60714,3.78571,3.58705,3.71205,1.43E+12,1,1,70.213,0.04423,0.03425,15.87451,1,0,0,0,1,0,3.30009,0,3.30009,0,0,3.60714
AAPL,2000-01-19,3.77232,3.88392,3.69196,3.8058,1.44E+12,1,1,70.27365,0.04427,0.02494,15.87451,1,0,0,0,1,0,3.41509,0,3.41509,0,0,3.77232
AAPL,2000-01-20,4.125,4.33928,4.05357,4.05357,1.45E+12,1,1,70.63607,0.0445,0.06307,15.87451,1,0,0,0,1,0,3.50134,0,3.50134,0,0,4.125
AAPL,2000-01-21,4.08035,4.08035,3.93526,3.97544,1.46E+12,1,1,70.33557,0.04431,-0.01946,15.87451,1,0,0,0,1,0,3.72928,0,3.72928,0,0,4.08035
AAPL,2000-01-24,3.87276,4.02678,3.75446,3.79464,1.47E+12,1,1,70.45976,0.04439,-0.04655,15.87451,1,0,0,0,1,0,3.65741,0,3.65741,0,0,3.87276
AAPL,2000-01-25,3.75,4.04017,3.65625,4.00892,1.47E+12,1,1,70.53667,0.04443,0.05493,15.87451,1,0,0,0,1,0,3.49107,0,3.49107,0,0,3.75
AAPL,2000-01-26,3.92857,4.07812,3.91964,3.93526,1.48E+12,1,1,70.53734,0.04443,-0.01854,15.87451,1,0,0,0,1,0,3.68821,0,3.68821,0,0,3.92857
AAPL,2000-01-27,3.88616,4.03571,3.82142,3.92857,1.49E+12,1,1,70.30474,0.04429,-0.0017,15.87451,1,0,0,0,1,0,3.62044,0,3.62044,0,0,3.88616
